Workout,Exercise,Full Reps,Partial Reps,Failure,Muscle Group 1,Muscle Group 2,Muscle Group 3,Notes
Jan 1 (Arms),Single-Arm Pressdown,10,3,Yes,Triceps,,,"Have to assume reps are similar for both arms, since video cuts in mid-set"
Jan 1 (Arms),Single-Arm Pressdown,10,1,Yes,Triceps,,,
Jan 1 (Arms),Machine Pressdown,10,7,Yes,Triceps,,,
Jan 1 (Arms),Machine Pressdown,5,6,Yes,Triceps,,,
Jan 1 (Arms),Machine Pressdown (dropset),3,4,Yes,Triceps,,,
Jan 1 (Arms),Triceps Pressdown,N/A,4,Yes,Triceps,,,Rest Pause
Jan 1 (Arms),Triceps Pressdown,N/A,6,Yes,Triceps,,,
Jan 1 (Arms),Triceps Pressdown,10,4,Yes,Triceps,,,
Jan 1 (Arms),Single-Arm Pressdown,N/A,N/A,Yes,Triceps,,,alternating 5 reps back and forth between arms
Jan 1 (Arms),DB Curls,13,0,Yes,Biceps,,,Lots of cheating on last reps
Jan 1 (Arms),DB Curls,7,1,Yes,Biceps,,,
Jan 1 (Arms),DB Concentration Curls,12,7,Yes,Biceps,,,"Have to assume reps are similar for both arms, since video cuts in mid-set"
Jan 1 (Arms),Machine Seated Biceps Curl,6,8,Yes,Biceps,,,
Jan 1 (Arms),Machine Seated Biceps Curl,8,4,Yes,Biceps,,,
Jan 1 (Arms),DB Curls,7,2,Yes,Biceps,,,
Jan 2 (Legs),Lying Hamstring Curls,12,8,Yes,Hamstrings,,,
Jan 2 (Legs),Lying Hamstring Curls,8,8,Yes,Hamstrings,,,
Jan 2 (Legs),Lying Hamstring Curls,7,7,Yes,Hamstrings,,,
Jan 2 (Legs),Lying Hamstring Curls,7,10,Yes,Hamstrings,,,Rest Pause
Jan 2 (Legs),Seated Hamstring Curls,5,8,Yes,Hamstrings,,,
Jan 2 (Legs),Seated Hamstring Curls,7,9,Yes,Hamstrings,,,
Jan 2 (Legs),Seated Hamstring Curls,7,8,Yes,Hamstrings,,,
Jan 2 (Legs),Single-Leg Leg Extension,11,9,Yes,Quads,,,"Have to assume reps are similar for both arms, since video cuts in mid-set"
Jan 2 (Legs),Single-Leg Leg Extension,7,6,Yes,Quads,,,Both legs were similar reps
Jan 2 (Legs),Single-Leg Leg Extension,6,7,Yes,Quads,,,Both legs were similar reps
Jan 2 (Legs),Single-Leg Leg Extension,9,6,Yes,Quads,,,Pausing halfway up rep and then finishing rep. Both legs were similar reps
